#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
94.0,El Salvador,51437,,1521.0,12.0,45223.0,,4693.0,115.0,7908.0,234.0,665341.0,102292.0,6504326.0,North America,126.0,4276.0,10.0
95.0,Luxembourg,48975,,560.0,,46051.0,,2364.0,20.0,77544.0,887.0,1806727.0,2860669.0,631575.0,Europe,13.0,1128.0,0.0
96.0,Finland,40722,,621.0,,31000.0,,9101.0,27.0,7343.0,112.0,2658827.0,479457.0,5545496.0,Europe,136.0,8930.0,2.0
97.0,Zambia,39515,,578.0,,28066.0,,10871.0,389.0,2117.0,31.0,784494.0,42031.0,18664546.0,Africa,472.0,32292.0,24.0
98.0,Uganda,38534,,305.0,,13405.0,,24824.0,,828.0,7.0,801935.0,17236.0,46526191.0,Africa,1207.0,152545.0,58.0
99.0,Estonia,37941,,344.0,,27416.0,,10181.0,45.0,28591.0,259.0,716769.0,540130.0,1327030.0,Europe,35.0,3858.0,2.0
100.0,Uruguay,33446,,330.0,,25410.0,,7706.0,104.0,9610.0,95.0,763950.0,219501.0,3480402.0,South America,104.0,10547.0,5.0
101.0,Namibia,30995,,296.0,,27858.0,,2841.0,27.0,12078.0,115.0,244182.0,95155.0,2566162.0,Africa,83.0,8669.0,11.0
102.0,Cyprus,29294,,176.0,,2057.0,,27061.0,59.0,24166.0,145.0,915123.0,754916.0,1212219.0,Asia,41.0,6888.0,1.0
103.0,Australia,28740,10.0,909.0,,25943.0,12.0,1888.0,1.0,1120.0,35.0,12540948.0,488678.0,25663009.0,Australia/Oceania,893.0,28232.0,2.0
104.0,Zimbabwe,28675,,825.0,,18110.0,,9740.0,,1914.0,55.0,250728.0,16735.0,14981976.0,Africa,522.0,18160.0,60.0
