#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/  1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
200.0,Niger,9931,,312.0,,8890.0,,729.0,1.0,381.0,12.0,254538.0,9759.0,26083660.0,Africa,2626.0,83601.0,102.0,,,28.0
201.0,Antigua and Barbuda,9106,,146.0,,8954.0,,6.0,1.0,91509.0,1467.0,18901.0,189943.0,99509.0,North America,11.0,682.0,5.0,,,60.0
202.0,Comoros,8925,,161.0,,8681.0,,83.0,,9836.0,177.0,,,907419.0,Africa,102.0,5636.0,,,,91.0
203.0,Guinea-Bissau,8848,,176.0,,8642.0,,30.0,6.0,4288.0,85.0,145231.0,70385.0,2063367.0,Africa,233.0,11724.0,14.0,,,15.0
204.0,Liberia,8014,,294.0,,7705.0,,15.0,2.0,1511.0,55.0,139824.0,26356.0,5305117.0,Africa,662.0,18045.0,38.0,,,3.0
205.0,Sierra Leone,7758,,126.0,,,,,,934.0,15.0,259958.0,31296.0,8306436.0,Africa,1071.0,65924.0,32.0,,,330.0
206.0,Chad,7637,,194.0,,4874.0,,2569.0,,439.0,11.0,191341.0,10988.0,17413580.0,Africa,2280.0,89761.0,91.0,,,148.0
207.0,British Virgin Islands,7305,,64.0,,,,,,238757.0,2092.0,107339.0,3508269.0,30596.0,North America,4.0,478.0,0.0,,,392.0
208.0,St. Vincent Grenadines,7112,,115.0,,6641.0,,356.0,,63756.0,1031.0,100856.0,904125.0,111551.0,North America,16.0,970.0,1.0,,,3191.0
209.0,Saint Kitts and Nevis,6552,,46.0,,6482.0,,24.0,,121624.0,854.0,124861.0,2317778.0,53871.0,North America,8.0,1171.0,0.0,,,446.0
210.0,Turks and Caicos,6431,,36.0,,6364.0,,31.0,4.0,161823.0,906.0,550203.0,13844720.0,39741.0,North America,6.0,1104.0,0.0,,,780.0
211.0,Cook Islands,6389,,1.0,,6384.0,,4.0,,363610.0,57.0,19690.0,1120596.0,17571.0,Australia/Oceania,3.0,17571.0,1.0,,,228.0
212.0,Sao Tome and Principe,6275,,77.0,,6193.0,,5.0,,27561.0,338.0,29036.0,127530.0,227679.0,Africa,36.0,2957.0,8.0,,,22.0
213.0,Palau,5572,,7.0,,5532.0,,33.0,1.0,305600.0,384.0,66171.0,3629189.0,18233.0,Australia/Oceania,3.0,2605.0,0.0,,,1810.0
214.0,St. Barth,5336,,6.0,,,,,,536551.0,603.0,78646.0,7908095.0,9945.0,North America,2.0,1658.0,0.0,,,489492.0
215.0,Nauru,4618,,1.0,,4609.0,,8.0,,423553.0,92.0,20509.0,1881042.0,10903.0,Australia/Oceania,2.0,10903.0,1.0,,,734.0
216.0,Anguilla,3904,,12.0,,3879.0,,13.0,4.0,256336.0,788.0,51382.0,3373736.0,15230.0,North America,4.0,1269.0,0.0,,,854.0
