#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/  1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
123.0,Libya,1704,52.0,47.0,1.0,380.0,1.0,1277.0,,248.0,7.0,38273.0,5567.0,6874991.0,Africa,4035.0,146276.0,180.0
124.0,Sierra Leone,1688,10.0,65.0,1.0,1219.0,6.0,404.0,,211.0,8.0,,,7982844.0,Africa,4729.0,122813.0,
125.0,Eswatini,1619,67.0,21.0,,769.0,33.0,829.0,5.0,1395.0,18.0,17559.0,15128.0,1160659.0,Africa,717.0,55269.0,66.0
126.0,Benin,1602,139.0,31.0,3.0,782.0,225.0,789.0,1.0,132.0,3.0,72832.0,6002.0,12133695.0,Africa,7574.0,391410.0,167.0
127.0,Yemen,1576,24.0,440.0,2.0,695.0,,441.0,,53.0,15.0,120.0,4.0,29849119.0,Asia,18940.0,67839.0,248743.0
128.0,New Zealand,1549,1.0,22.0,,1506.0,7.0,21.0,,310.0,4.0,438720.0,87707.0,5002100.0,Australia/Oceania,3229.0,227368.0,11.0
129.0,Rwanda,1485,12.0,4.0,,811.0,41.0,670.0,,115.0,0.3,203790.0,15721.0,12963069.0,Africa,8729.0,3240767.0,64.0
130.0,Zimbabwe,1420,58.0,24.0,1.0,438.0,13.0,958.0,,95.0,2.0,99701.0,6704.0,14871384.0,Africa,10473.0,619641.0,149.0
131.0,Mozambique,1402,19.0,9.0,,397.0,22.0,996.0,,45.0,0.3,42551.0,1360.0,31283524.0,Africa,22313.0,3475947.0,735.0
132.0,Tunisia,1336,9.0,50.0,,1095.0,2.0,191.0,,113.0,4.0,82418.0,6971.0,11823709.0,Africa,8850.0,236474.0,143.0
133.0,Jordan,1209,3.0,10.0,,1021.0,2.0,178.0,3.0,118.0,1.0,500062.0,48990.0,10207331.0,Asia,8443.0,1020733.0,20.0
134.0,Latvia,1185,6.0,31.0,,1022.0,,132.0,,629.0,16.0,177885.0,94362.0,1885125.0,Europe,1591.0,60810.0,11.0
135.0,Niger,1102,,69.0,,993.0,,40.0,,45.0,3.0,6696.0,276.0,24230849.0,Africa,21988.0,351172.0,3619.0
136.0,Liberia,1085,15.0,69.0,1.0,496.0,10.0,520.0,,214.0,14.0,,,5061779.0,Africa,4665.0,73359.0,
137.0,Namibia,1078,46.0,2.0,,32.0,1.0,1044.0,1.0,424.0,0.8,16838.0,6622.0,2542621.0,Africa,2359.0,1271311.0,151.0
138.0,Uganda,1056,5.0,,,1023.0,9.0,33.0,,23.0,,238709.0,5214.0,45784568.0,Africa,43357.0,,192.0
139.0,Burkina Faso,1045,7.0,53.0,,887.0,5.0,105.0,,50.0,3.0,,,20921842.0,Africa,20021.0,394752.0,
140.0,Cyprus,1033,2.0,19.0,,845.0,,169.0,,855.0,16.0,179676.0,148771.0,1207735.0,Asia,1169.0,63565.0,7.0
141.0,Uruguay,1026,,32.0,,916.0,,78.0,3.0,295.0,9.0,84289.0,24261.0,3474267.0,South America,3386.0,108571.0,41.0
142.0,Georgia,1010,4.0,15.0,,885.0,2.0,110.0,5.0,253.0,4.0,164285.0,41187.0,3988806.0,Asia,3949.0,265920.0,24.0
143.0,Suriname,919,15.0,19.0,1.0,582.0,1.0,318.0,8.0,1566.0,32.0,1244.0,2120.0,586852.0,South America,639.0,30887.0,472.0
144.0,Chad,887,1.0,75.0,,800.0,1.0,12.0,,54.0,5.0,,,16440812.0,Africa,18535.0,219211.0,
145.0,Andorra,880,3.0,52.0,,803.0,,25.0,,11388.0,673.0,3750.0,48530.0,77271.0,Europe,88.0,1486.0,21.0
146.0,Jamaica,765,2.0,10.0,,647.0,,108.0,,258.0,3.0,29443.0,9941.0,2961738.0,North America,3872.0,296174.0,101.0
147.0,Togo,749,,15.0,,543.0,,191.0,2.0,90.0,2.0,37085.0,4476.0,8285420.0,Africa,11062.0,552361.0,223.0
148.0,Sao Tome and Principe,740,,14.0,,325.0,,401.0,,3374.0,64.0,2054.0,9366.0,219310.0,Africa,296.0,15665.0,107.0
149.0,Diamond Princess,712,,13.0,,651.0,,48.0,4.0,,,,,,,,,
150.0,San Marino,699,,42.0,,656.0,,1.0,,20599.0,1238.0,5729.0,168828.0,33934.0,Europe,49.0,808.0,6.0
151.0,Malta,674,,9.0,,662.0,1.0,3.0,,1526.0,20.0,111555.0,252618.0,441596.0,Europe,655.0,49066.0,4.0
152.0,Angola,638,31.0,29.0,1.0,199.0,75.0,410.0,6.0,19.0,0.9,10000.0,304.0,32897365.0,Africa,51563.0,1134392.0,3290.0
153.0,Réunion,614,2.0,3.0,,472.0,,139.0,4.0,686.0,3.0,35419.0,39548.0,895586.0,Africa,1459.0,298529.0,25.0
154.0,Channel Islands,583,,47.0,,529.0,17.0,7.0,,3352.0,270.0,30721.0,176629.0,173930.0,Europe,298.0,3701.0,6.0
155.0,Botswana,522,,1.0,,48.0,,473.0,1.0,222.0,0.4,51379.0,21832.0,2353346.0,Africa,4508.0,2353346.0,46.0
156.0,Tanzania,509,,21.0,,183.0,,305.0,7.0,9.0,0.4,,,59788370.0,Africa,117462.0,2847065.0,
157.0,Syria,496,19.0,25.0,3.0,144.0,4.0,327.0,,28.0,1.0,,,17515137.0,Asia,35313.0,700605.0,
158.0,Taiwan,454,2.0,7.0,,440.0,,7.0,,19.0,0.3,79065.0,3319.0,23818733.0,Asia,52464.0,3402676.0,301.0
159.0,Vietnam,382,1.0,,,356.0,,26.0,1.0,4.0,,275000.0,2824.0,97375270.0,Asia,254909.0,,354.0
160.0,Mauritius,343,,10.0,,331.0,,2.0,,270.0,8.0,193561.0,152187.0,1271864.0,Africa,3708.0,127186.0,7.0
161.0,Myanmar,339,,6.0,,270.0,,63.0,,6.0,0.1,97651.0,1794.0,54425495.0,Asia,160547.0,9070916.0,557.0
162.0,Isle of Man,336,,24.0,,312.0,,0.0,,3950.0,282.0,7430.0,87357.0,85053.0,Europe,253.0,3544.0,11.0
